name,module_name,module_type,value,updated_at
car,"Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",886000,2014-01-15
car,"Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",922000,2014-01-21
car,"Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",94473,2013-12-05
car,"Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",95097,2013-12-09
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",451369,"2015-03-01 12:06:07"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",449485,"2015-03-01 12:06:07"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",449347,"2015-03-01 12:06:07"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",450266,"2015-03-01 16:51:51"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",450156,"2015-02-20 11:37:37"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",449477,"2015-02-20 11:37:37"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",428850,"2015-01-31 12:56:20"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",424707,"2015-01-04 12:29:03"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",424693,"2014-12-21 15:42:51"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",424693,"2014-12-14 13:05:40"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",424662,"2014-12-14 13:05:40"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",424557,"2014-12-12 12:45:34"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",424384,"2014-12-12 12:45:34"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",424006,"2014-12-12 12:45:34"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",424006,"2014-12-07 17:46:26"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",423757,"2014-11-30 10:19:00"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",422925,"2014-11-28 17:09:07"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",424585,"2014-11-28 17:09:07"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",423301,"2014-11-24 14:10:38"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",423296,"2014-11-17 15:44:22"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",423161,"2014-11-17 15:44:22"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",422195,"2014-11-17 15:44:22"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",421722,"2014-11-04 10:35:21"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",421374,"2014-11-02 19:43:55"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",419003,"2014-11-02 19:43:55"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",418962,"2014-10-30 18:29:19"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",418865,"2014-10-28 19:14:41"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",420982,"2014-10-28 19:14:41"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",424268,"2014-10-12 21:09:07"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",424003,"2014-10-12 21:09:07"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",423288,"2014-10-05 10:04:59"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",420582,"2014-09-30 18:41:39"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",420268,"2014-09-30 18:41:39"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",419352,"2014-09-23 17:53:16"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",418412,"2014-09-23 17:53:16"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",417984,"2014-09-14 16:35:28"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",417896,"2014-09-14 16:35:28"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",417294,"2014-09-10 17:33:30"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",417130,"2014-09-07 11:41:39"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",416437,"2014-08-31 12:11:39"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",412110,"2014-08-31 12:11:39"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",411518,"2014-08-24 22:20:20"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",411244,"2014-08-21 19:29:37"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",405643,"2014-08-21 19:29:37"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",401801,"2014-08-10 18:36:48"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",398995,"2014-08-05 09:19:50"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",398041,"2014-08-05 09:19:50"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",397992,"2014-08-03 11:14:25"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",397674,"2014-07-27 16:34:54"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",397210,"2014-07-27 14:19:33"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",384230,"2014-07-21 18:50:56"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",383253,"2014-07-13 19:10:30"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",383437,"2014-07-06 17:13:31"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",376448,"2014-06-27 13:41:36"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",346521,"2014-06-15 18:41:01"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",345857,"2014-06-15 18:41:01"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",345889,"2014-06-09 13:18:17"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",347386,"2014-06-09 13:18:17"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",346909,"2014-05-26 20:32:37"
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",346909,2014-05-26
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",346909,2014-05-26
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",145287,2013-12-04
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",155519,2013-12-16
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",226505,2013-12-18
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",227492,2013-12-31
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",239937,2014-02-06
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",240419,2014-02-09
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",241878,2014-02-19
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",247381,2014-02-28
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",294248,2014-03-19
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",297725,2014-03-22
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",299091,2014-03-25
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",301758,2014-03-31
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",301965,2014-04-01
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",324827,2014-04-05
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",326700,2014-04-11
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",330878,2014-04-17
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",330926,2014-04-18
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",330947,2014-04-23
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",336753,2014-04-14
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",337031,2014-04-15
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",337345,2014-04-25
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",340763,2014-05-11
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",340904,2014-05-15
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",340954,2014-05-18
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",342229,2014-04-29
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",342344,2014-04-30
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",342535,2014-05-08
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",342638,2014-04-28
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",346698,2014-05-25
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",92221,2013-02-28
car,"Refugees from the Central African Republic","Total Population & Demogrpahy",97370,2013-11-30
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",970763,"2015-02-28 10:01:15"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",971917,"2015-01-31 18:32:30"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",961397,"2015-01-31 18:32:30"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",963268,"2014-12-31 19:29:04"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",964235,"2014-12-31 19:29:04"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",965428,"2014-12-31 19:29:04"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",965664,"2014-11-30 06:52:48"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",965147,"2014-10-31 10:08:29"
