name,module_name,value,updated_at
syria,Persons awaiting registration,32314,2010-08-18
syria,Persons awaiting registration,56451,2010-06-20
syria,Persons awaiting registration,35948,2010-07-23
syria,Persons awaiting registration,66580,2010-06-09
syria,Registered Syrian Refugees,3901050,2011-03-10
syria,Registered Syrian Refugees,103474,2008-07-04
syria,Registered Syrian Refugees,777592,2009-03-02
syria,Registered Syrian Refugees,2089473,2009-10-20
syria,Registered Syrian Refugees,2787395,2010-06-09
syria,Registered Syrian Refugees,3218302,2010-12-23
syria,Registered Syrian Refugees,3218302,2010-12-27
syria,Registered Syrian Refugees,389020,2008-11-22
syria,Registered Syrian Refugees,1616693,2009-07-15
syria,Registered Syrian Refugees,206353,2008-09-03
syria,Registered Syrian Refugees,2867672,2010-07-08
syria,Registered Syrian Refugees,213671,2008-09-10
syria,Registered Syrian Refugees,557290,2009-01-17
syria,Registered Syrian Refugees,3754509,2011-03-09
syria,Registered Syrian Refugees,262423,2008-10-03
syria,Registered Syrian Refugees,1558395,2009-06-29
syria,Registered Syrian Refugees,3001535,2010-09-17
syria,Registered Syrian Refugees,153028,2008-08-13
syria,Registered Syrian Refugees,1499819,2009-06-18
syria,Registered Syrian Refugees,2966920,2010-09-02
syria,Registered Syrian Refugees,211932,2008-09-06
syria,Registered Syrian Refugees,1677517,2009-07-25
syria,Registered Syrian Refugees,3744970,2011-02-24
syria,Registered Syrian Refugees,2321837,2010-01-07
syria,Registered Syrian Refugees,2551671,2010-03-24
syria,Registered Syrian Refugees,3753332,2011-03-07
syria,Registered Syrian Refugees,1323904,2009-05-16
syria,Registered Syrian Refugees,530278,2009-01-12
syria,Registered Syrian Refugees,359273,2008-11-12
syria,Registered Syrian Refugees,2732327,2010-05-18
syria,Registered Syrian Refugees,193513,2008-08-29
syria,Registered Syrian Refugees,907425,2009-03-13
syria,Registered Syrian Refugees,834567,2009-03-08
syria,Registered Syrian Refugees,774581,2009-02-28
syria,Registered Syrian Refugees,2474297,2010-02-26
syria,Registered Syrian Refugees,277729,2008-10-14
syria,Registered Syrian Refugees,2077517,2009-10-13
syria,Registered Syrian Refugees,252758,2008-09-30
syria,Registered Syrian Refugees,478674,2008-12-21
syria,Registered Syrian Refugees,3750378,2011-03-07
syria,Registered Syrian Refugees,992167,2009-03-27
syria,Registered Syrian Refugees,2875299,2010-07-14
syria,Registered Syrian Refugees,1027123,2009-04-03
syria,Registered Syrian Refugees,2322264,2009-12-26
syria,Registered Syrian Refugees,2909322,2010-08-04
syria,Registered Syrian Refugees,3018614,2010-10-15
syria,Registered Syrian Refugees,3220862,2010-12-28
syria,Registered Syrian Refugees,56116,2008-04-26
syria,Registered Syrian Refugees,2173086,2009-11-11
syria,Registered Syrian Refugees,3718477,2011-01-12
syria,Registered Syrian Refugees,2269094,2009-12-08
syria,Registered Syrian Refugees,497965,2008-12-30
syria,Registered Syrian Refugees,1985111,2009-09-22
syria,Registered Syrian Refugees,3750190,2011-03-04
syria,Registered Syrian Refugees,3718460,2011-01-18
syria,Registered Syrian Refugees,3718404,2011-01-13
syria,Registered Syrian Refugees,3104149,2010-11-19
syria,Registered Syrian Refugees,2416113,2010-02-02
syria,Registered Syrian Refugees,290151,2008-10-18
syria,Registered Syrian Refugees,790820,2009-03-07
syria,Registered Syrian Refugees,1598259,2009-07-12
syria,Registered Syrian Refugees,1714485,2009-08-05
syria,Registered Syrian Refugees,2869807,2010-07-09
syria,Registered Syrian Refugees,3217906,2010-12-22
syria,Registered Syrian Refugees,1224903,2009-04-25
syria,Registered Syrian Refugees,3023116,2010-10-29
syria,Registered Syrian Refugees,2121535,2009-11-02
syria,Registered Syrian Refugees,2944728,2010-08-23
syria,Registered Syrian Refugees,2944750,2010-08-24
syria,Registered Syrian Refugees,1597562,2009-07-08
syria,Registered Syrian Refugees,46959,2008-04-23
syria,Registered Syrian Refugees,1679974,2009-07-27
syria,Registered Syrian Refugees,1683945,2009-07-28
syria,Registered Syrian Refugees,2216699,2009-11-25
syria,Registered Syrian Refugees,2577318,2010-03-30
syria,Registered Syrian Refugees,399149,2008-11-26
syria,Registered Syrian Refugees,106691,2008-07-09
syria,Registered Syrian Refugees,18704,2008-02-09
syria,Registered Syrian Refugees,697826,2009-02-11
syria,Registered Syrian Refugees,3749594,2011-03-04
syria,Registered Syrian Refugees,2325533,2010-01-08
